Date,Euro_Million,Euro_Nights,Irish_Million,Irish_Nights_per_Trip,Dublin_Total_flight,Total_(m)_flight,%_YoY_flight,%_QoQ_flight,YoY_flight,Total_Expenditure
2012-01-01,483.0,6.8,243.8,2.1,4728263,4728,2.54,0.0,120.258,726.8
2012-04-01,816.0,7.0,352.2,2.7,4696597,4697,2.54,-0.6556683587140455,120.258,1168.2
2012-07-01,994.0,8.1,632.1,3.7,4824062,4824,2.54,2.7038535235256456,120.258,1626.1
2012-10-01,622.0,7.2,286.1,2.4,4801202,4801,2.54,-0.47678275290216066,120.258,908.1
2013-01-01,541.0,6.7,239.5,2.2,4848521,4849,2.54,0.9997917100603937,120.258,780.5
2013-04-01,870.0,7.0,334.8,2.5,5028326,5028,7.06,3.6914827799546357,331.729,1204.8
2013-07-01,1186.0,8.2,658.5,3.8,5117555,5118,6.08,1.7899761336515496,293.493,1844.5
2013-10-01,665.0,6.8,300.2,2.3,5123685,5124,6.72,0.11723329425556983,322.483,965.2
2014-01-01,534.0,6.6,244.0,2.2,5182974,5183,6.9,1.1514441842310763,334.453,778.0
2014-04-01,1001.0,7.1,402.5,2.6,5361211,5361,6.62,3.4343044568782455,332.885,1403.5
2014-07-01,1303.0,8.1,693.9,3.8,5478659,5479,7.06,2.2010818877075122,361.104,1996.9
2014-10-01,711.0,6.6,373.0,2.4,5670588,5671,10.67,3.504289103851077,546.903,1084.0
2015-01-01,590.0,6.5,269.1,2.0,5940129,5940,14.61,4.7434314935637545,757.155,859.1
2015-04-01,1194.0,7.0,393.6,2.4,6168203,6168,15.05,3.838383838383841,806.992,1587.6
2015-07-01,1551.0,7.9,701.9,3.8,6335056,6335,15.63,2.7075226977950617,856.397,2252.9
2015-10-01,873.0,6.4,360.6,2.2,6482881,6483,14.32,2.3362273086029894,812.293,1233.6
2016-01-01,693.0,6.5,331.1,2.2,6750673,6751,13.65,4.1338886318062595,810.544,1024.1
2016-04-01,1261.0,6.7,370.0,2.4,6883747,6884,11.6,1.9700785068878623,715.544,1631.0
2016-07-01,1693.0,7.7,699.4,3.6,6960953,6961,9.88,1.1185357350377734,625.897,2392.4
2016-10-01,930.0,6.4,397.2,2.2,7119637,7120,9.82,2.2841545754920256,636.756,1327.2
2017-01-01,684.0,6.2,352.9,2.0,7277758,7278,7.81,2.2191011235955127,527.085,1036.9
2017-04-01,1408.0,6.6,456.0,2.6,7281895,7282,5.78,0.05496015388843922,398.148,1864.0
2017-07-01,1736.0,7.6,664.4,3.4,7416680,7417,6.55,1.8538862949739165,455.727,2400.4
2017-10-01,1046.0,6.9,405.7,2.2,7485668,7486,5.14,0.9302952676284226,366.031,1451.7
2018-01-01,795.0,6.5,336.2,2.1,7420353,7420,1.96,-0.8816457387122667,142.595,1131.2
2018-04-01,1475.0,6.3,495.5,2.6,7993550,7994,9.77,7.735849056603783,711.655,1970.5
2018-07-01,1832.0,7.4,728.3,3.2,7881404,7881,6.27,-1.4135601701275924,464.724,2560.3
2018-10-01,1047.0,6.3,446.0,2.2,7986729,7987,6.69,1.345006978809793,501.061,1493.0
2019-01-01,763.0,6.0,361.9,2.0,8124237,8124,9.49,1.715287341930627,703.884,1124.9
2019-04-01,1513.0,6.5,501.7,2.4,8214810,8215,2.77,1.1201378631216174,221.26,2014.7
2019-07-01,1824.0,7.0,824.9,3.3,8225980,8226,4.37,0.13390139987827787,344.576,2648.9
2019-10-01,1001.0,6.2,458.1,2.1,8085870,8086,1.24,-1.7019207391198665,99.141,1459.1
